"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"ElasticNet",3,"Regularization",90,0.00647602689510726,0.00471512892572875,0.00353380460423352,0.203308702631399,"cumulative_log_change",0.728014494900748,0.536651908822119,0.40831131963037,0.475117506457564,1.94472289688686,0.00647602689510726,0.00471512892572875,0.00353380460423352,0.203308702631399
"Factor",3,"Factor",90,0.00684525380960112,0.00469750983836364,0.00263370013488406,0.201869514634977,"cumulative_log_change",0.751265771450758,0.530190508391796,0.30487144085715,0.472848338121487,1.92977081238512,0.00684525380960112,0.00469750983836364,0.00263370013488406,0.201869514634977
"Ridge",3,"Regularization",90,0.00689158807668887,0.0048854046191409,0.00375023406344207,0.155504531226422,"cumulative_log_change",0.767865439800108,0.553576680003302,0.430488072837348,0.49197441398712,2.01013932986569,0.00689158807668887,0.0048854046191409,0.00375023406344207,0.155504531226422
"RW",3,"Baseline",90,0.00970471131620562,0.00843240873666174,0.00815093081280654,,"cumulative_log_change",1.12188087602918,0.976277777777775,0.946944444444444,0.847886559550226,3.44831672580208,0.00970471131620562,0.00843240873666174,0.00815093081280654,
"BorutaRF",6,"FeatureSelection+Tree",90,0.00886658372104795,0.00615926585567793,0.00354620137761712,0.499731659278161,"cumulative_log_change",0.990474785947034,0.694573545832844,0.403969664898532,0.626517888646516,1.27467439002165,0.00886658372104795,0.00615926585567793,0.00354620137761712,0.499731659278161
"RandomForest",6,"Tree",90,0.00984363906385907,0.00685004562795226,0.00494339165602251,0.417012490780612,"cumulative_log_change",1.10198407520489,0.773808237429812,0.565466024466026,0.696654738518853,1.41710413282507,0.00984363906385907,0.00685004562795226,0.00494339165602251,0.417012490780612
"AR(4)",6,"Baseline",90,0.0101797093584525,0.0072958457300663,0.00488457775506233,0.305179018214265,"cumulative_log_change",1.15100012551771,0.830361703792274,0.5691931602658,0.742332497505017,1.51069331677706,0.0101797093584525,0.0072958457300663,0.00488457775506233,0.305179018214265
"XGBoost",6,"Boosting",90,0.0102985197458044,0.00725050693903053,0.00579518842163634,0.444156579493718,"cumulative_log_change",1.16594152652788,0.825515973828984,0.670541951346691,0.737641482840309,1.50099196911442,0.0102985197458044,0.00725050693903053,0.00579518842163634,0.444156579493718
"Ensemble_Median",6,"Ensemble",90,0.010822415656672,0.00761380694013867,0.00600245125380352,0.27252756641877,"cumulative_log_change",1.22269103951572,0.865948855100409,0.69362954033645,0.774348099652689,1.57516798155741,0.010822415656672,0.00761380694013867,0.00600245125380352,0.27252756641877
"Ensemble_InvRMSE",6,"Ensemble",90,0.0108831559911759,0.00751547001180264,0.00622568237570933,0.30721780093554,"cumulative_log_change",1.22609561080517,0.855883016929351,0.718172045034667,0.764165262292657,1.55409927734758,0.0108831559911759,0.00751547001180264,0.00622568237570933,0.30721780093554
