"target_code","horizon","target_name","model","model_family","winner_windows_fractional","winner_window_appearances","total_windows","winner_frequency_fractional","winner_appearance_rate"
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","XGBoost","Boosting",19,19,77,0.246753246753247,0.246753246753247
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","RandomForest","Tree",15,15,77,0.194805194805195,0.194805194805195
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","Ensemble_InvRMSE","Ensemble",11,11,77,0.142857142857143,0.142857142857143
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","Ridge","Regularization",10,10,77,0.12987012987013,0.12987012987013
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","AR(4)","Baseline",9,9,77,0.116883116883117,0.116883116883117
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","Ensemble_Median","Ensemble",5,5,77,0.0649350649350649,0.0649350649350649
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","ElasticNet","Regularization",3,3,77,0.038961038961039,0.038961038961039
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","RW","Baseline",3,3,77,0.038961038961039,0.038961038961039
"UNRATE",1,"Civilian Unemployment Rate [UNRATE]","Ensemble_Mean","Ensemble",2,2,77,0.025974025974026,0.025974025974026
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","XGBoost","Boosting",19,19,77,0.246753246753247,0.246753246753247
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","Factor","Factor",12,12,77,0.155844155844156,0.155844155844156
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","ElasticNet","Regularization",10,10,77,0.12987012987013,0.12987012987013
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","BorutaRF","FeatureSelection+Tree",9,9,77,0.116883116883117,0.116883116883117
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","AR(4)","Baseline",6,6,77,0.0779220779220779,0.0779220779220779
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","Ridge","Regularization",6,6,77,0.0779220779220779,0.0779220779220779
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","RandomForest","Tree",5,5,77,0.0649350649350649,0.0649350649350649
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","Ensemble_Mean","Ensemble",4,4,77,0.051948051948052,0.051948051948052
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","RW","Baseline",3,3,77,0.038961038961039,0.038961038961039
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","Ensemble_Median","Ensemble",2,2,77,0.025974025974026,0.025974025974026
"UNRATE",3,"Civilian Unemployment Rate [UNRATE]","LASSO","Regularization",1,1,77,0.012987012987013,0.012987012987013
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","BorutaRF","FeatureSelection+Tree",18,18,77,0.233766233766234,0.233766233766234
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","Ensemble_InvRMSE","Ensemble",14,14,77,0.181818181818182,0.181818181818182
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","Factor","Factor",10,10,77,0.12987012987013,0.12987012987013
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","RandomForest","Tree",8,8,77,0.103896103896104,0.103896103896104
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","AR(4)","Baseline",6,6,77,0.0779220779220779,0.0779220779220779
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","Ensemble_Median","Ensemble",6,6,77,0.0779220779220779,0.0779220779220779
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","LASSO","Regularization",6,6,77,0.0779220779220779,0.0779220779220779
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","RW","Baseline",5,5,77,0.0649350649350649,0.0649350649350649
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","Ridge","Regularization",3,3,77,0.038961038961039,0.038961038961039
"UNRATE",6,"Civilian Unemployment Rate [UNRATE]","Ensemble_Mean","Ensemble",1,1,77,0.012987012987013,0.012987012987013
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","AR(4)","Baseline",20,20,77,0.25974025974026,0.25974025974026
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","Factor","Factor",16,16,77,0.207792207792208,0.207792207792208
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","ElasticNet","Regularization",15,15,77,0.194805194805195,0.194805194805195
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","XGBoost","Boosting",9,9,77,0.116883116883117,0.116883116883117
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","Ensemble_Median","Ensemble",7,7,77,0.0909090909090909,0.0909090909090909
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","BorutaRF","FeatureSelection+Tree",4,4,77,0.051948051948052,0.051948051948052
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","LASSO","Regularization",3,3,77,0.038961038961039,0.038961038961039
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","Ridge","Regularization",2,2,77,0.025974025974026,0.025974025974026
"UNRATE",12,"Civilian Unemployment Rate [UNRATE]","Ensemble_Mean","Ensemble",1,1,77,0.012987012987013,0.012987012987013
