"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"ElasticNet","Regularization","SE",88,0.000166686389532002,0.000668963207770231,0.00050227681823823,0.556818181818182,12,0.793486418599233,0.847694261395341
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Factor","Factor","SE",88,0.000157841341838806,0.000610319412688624,0.000452478070849818,0.568181818181818,12,0.787761323803843,0.851544369174845
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"RW","Baseline","SE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,"Ridge","Regularization","SE",88,-1.59262315719981e-05,0.000622456724855322,0.00063838295642732,0.522727272727273,12,0.793802576741183,0.880746327968806
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ensemble_Median","Ensemble","AE",88,0.0772044210839208,0.119625432969958,0.0424210118860373,0.625,12,0.552033178391707,0.7798707526203
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ridge","Regularization","AE",88,0.0770949995820942,0.120237545719427,0.0431425461373329,0.602272727272727,12,0.553537629055832,0.767551796178373
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"AR(4)","Baseline","AE",88,0.0765947548589839,0.128010410122176,0.0514156552631918,0.625,12,0.57045230418814,0.765859534543756
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"LASSO","Regularization","AE",88,0.0751339990192525,0.118080911275138,0.0429469122558855,0.647727272727273,12,0.57150132324567,0.772743488703921
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"ElasticNet","Regularization","AE",88,0.0748364284060652,0.118236356242674,0.0433999278366093,0.636363636363636,12,0.570557822120265,0.77382512914949
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"XGBoost","Boosting","AE",88,0.0736902500391707,0.117591373212546,0.0439011231733755,0.636363636363636,12,0.564361006701302,0.756243409505285
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,"Ensemble_Mean","Ensemble","AE",88,0.0707369083907999,0.110791359564228,0.0400544511734283,0.613636363636364,12,0.545043572162068,0.763814124405427
